META,title,Ecología,,,,
META,author,Rodrigo J. Gonçalves,,,,
META,university,Universidad de Granada,,,,
META,date,2026,,,,
L1,L2,L3,L4,collapsed,fontSize,link
Ecología,,,,false,16,
,Individual (Autoecología),,,true,14,
,,Nicho ecológico,,,,
,,,Fundamental vs. realizado,,,
,,,Ejes de recursos,,,
,,Adaptaciones fisiológicas,,,,
,,,Termorregulación,,,
,,,Osmorregulación,,,
,,,Tasa metabólica,,,
,,Rangos de tolerancia,,,,
,,,Ley del mínimo de Liebig,,,
,,,Ley de tolerancia de Shelford,,,
,,Ecología del comportamiento,,,,
,,,Estrategias de forrajeo,,,
,,,Selección de hábitat,,,
,,,Migración,,,
,,Plasticidad fenotípica,,,,
,Población,,,true,14,https://es.wikipedia.org/wiki/Ecolog%C3%ADa_de_poblaciones
,,Modelos de crecimiento,,,,
,,,Crecimiento exponencial,,,
,,,Crecimiento logístico,,,
,,,Efectos Allee,,,
,,Demografía,,,,
,,,Tablas de vida,,,
,,,Estructura de edades,,,
,,,Curvas de supervivencia,,,
,,,Valor reproductivo,,,
,,Regulación poblacional,,,,
,,,Factores dependientes de la densidad,,,
,,,Factores independientes de la densidad,,,
,,,Control descendente vs. ascendente,,,
,,Metapoblaciones,,,,
,,,Dinámica de parches,,,
,,,Dinámica fuente-sumidero,,,
,,,Efecto rescate,,,
,Comunidades,,,true,14,
,,Interacciones ecológicas,,,,
,,,Competencia,,,
,,,Depredación,,,
,,,Herbivoría,,,
,,,Mutualismo,,,
,,,Parasitismo,,,
,,,Comensalismo,,,
,,Diversidad de especies,,,,
,,,Riqueza de especies,,,
,,,Equitatividad,,,
,,,Índice de Shannon,,,
,,,Diversidad beta,,,
,,Estructura de la comunidad,,,,
,,,Especies dominantes,,,
,,,Especies clave,,,
,,,Cascadas tróficas,,,
,,Sucesión,,,,
,,,Sucesión primaria,,,
,,,Sucesión secundaria,,,
,,,Comunidad clímax,,,
,Sistemas,,,true,14,
,,Flujo de energía,,,,
,,,Productividad primaria,,,
,,,Niveles tróficos,,,
,,,Eficiencia ecológica (regla del 10%),,,
,,,Redes tróficas,,,
,,Ciclo de nutrientes,,,,
,,,Ciclo del carbono,,,
,,,Ciclo del nitrógeno,,,
,,,Ciclo del fósforo,,,
,,Descomposición,,,,
,,,Descomponedores y detritívoros,,,
,,,Formación del suelo,,,
,,Patrones globales,,,,
,,,Biomas,,,
,,,Gradiente latitudinal de diversidad,,,
,,,Biogeografía de islas,,,
