META,title,Great players,,,,
META,author,Juan Deporte,,,,
META,company,Sports Stream Show,,,,
META,date,Sep 2026,,,,
L1,L2,L3,L4,collapsed,fontSize,link
Sports superstars,,,,false,16,
,Fútbol,,,,14,
,,Won a WC,,,,
,,,Leo Messi,,,https://messi.com/en/
,,,Pelé,,,
,,,Maradona,,,
,,Did not win a WC,,,,
,,,Cristiano Ronaldo,,,
,,,Paolo Maldini,,,
,,,Johan Cruyff,,,
,Basket,,,,14,
,,Won a WC,,,,
,,,Shaquille O'Neal,,,
,,,Pau Gasol,,,
,,,Kevin Durant,,,
,,Did not win a WC,,,,
,,,Michael Jordan,,,
,,,LeBron James,,,
,,,Luka Dončić,,,
